station_name,latitude,longitude,business_name,review_count,rating,categories,price,phone,distance,address
10th & Cambie,49.262487,-123.114397,Saku,254,4.3,Japanese,$$,+16044234600,178.8453436692719,548 W Broadway
10th & Cambie,49.262487,-123.114397,La Taqueria Pinche Taco Shop,686,4.2,Mexican,$$,+16045582549,169.51745604912014,2450 Yukon Street
10th & Cambie,49.262487,-123.114397,Hokkaido Ramen Santouka,232,4.2,"Noodles, Ramen, Soup",$$,+16045651770,191.04423406538024,558 W Broadway
10th & Cambie,49.262487,-123.114397,Uma Sushi,123,4.3,"Japanese, Sushi Bars",$$$,+16044288588,152.15789734503988,450 W 8th Avenue
10th & Cambie,49.262487,-123.114397,Seaport City Seafood Restaurant,61,4.2,"Dim Sum, Seafood, Cantonese",$$$,+16042227288,168.6152620637239,2425 Cambie Street
10th & Cambie,49.262487,-123.114397,Menya Raizo,83,3.8,Ramen,$$,+16048290697,133.6656663727117,401 W Broadway
10th & Cambie,49.262487,-123.114397,iDen & Quan Ju De Beijing Duck House,138,3.5,Chinese,,+12364777777,263.641336489585,2808 Cambie Street
10th & Cambie,49.262487,-123.114397,Marulilu Cafe,291,4.0,Cafes,$$,+16045684211,102.3298169925688,451 W Broadway
10th & Cambie,49.262487,-123.114397,Cactus Club Cafe,150,3.7,"Canadian (New), Cocktail Bars",$$,+16047146000,221.48393348384232,575 Broadway W
10th & Cambie,49.262487,-123.114397,Sushi California,322,3.6,"Japanese, Sushi Bars",$$,+16048738284,143.49216961439387,388 W Broadway
10th & Cambie,49.262487,-123.114397,Rogue Kitchen & Wetbar,150,3.4,"American, Gastropubs",$$,+16045689400,256.56802477141,602 West Broadway Avenue
10th & Cambie,49.262487,-123.114397,Peaceful Restaurant,624,3.7,"Chinese, Noodles",$$,+16048799878,146.41800874604075,110-532 W Broadway
10th & Cambie,49.262487,-123.114397,Yelp Community Week: Pablo Cheese Tart,74,4.8,Yelp Events,,,135.82175499752597,511 W Broadway
10th & Cambie,49.262487,-123.114397,Indian Roti Kitchen,162,4.5,Indian,$$,+16048763767,391.28316184456656,2961 Cambie Street
10th & Cambie,49.262487,-123.114397,Westcoast Poke,175,3.8,"Hawaiian, Poke",$$,+17783795344,182.23995143895965,463 W 8th Avenue
10th & Cambie,49.262487,-123.114397,Vij's Restaurant,415,4.0,Indian,$$$,+16047366664,547.5967510908013,3106 Cambie Street
10th & Cambie,49.262487,-123.114397,Yolks,360,3.6,"Coffee & Tea, Breakfast & Brunch",$$,+16045599655,170.3240366141957,546 W Broadway
10th & Cambie,49.262487,-123.114397,Jollibee,45,3.4,"Fast Food, Chicken Shop",$$,+16048001107,69.66140643042063,2549 Cambie Street
10th & Cambie,49.262487,-123.114397,Anh and Chi,687,4.0,"Vietnamese, Cocktail Bars",$$$,+16048788883,1284.2105761524042,3388 Main Street
10th & Cambie,49.262487,-123.114397,Pablo Cheese Tart,39,3.9,Bakeries,,,135.82175499752597,511 West Broadway
Yaletown-Roundhouse Station,49.274566,-123.121817,The Flying Pig,1339,4.0,"Canadian (New), Seafood",$$,+16045681344,54.99091675773941,1168 Hamilton Street
Yaletown-Roundhouse Station,49.274566,-123.121817,Minami,784,4.2,"Japanese, Sushi Bars",$$$,+16046858080,106.40429058156566,1118 Mainland Street
Yaletown-Roundhouse Station,49.274566,-123.121817,Blue Water Cafe,1108,4.4,Seafood,$$$$,+16046888078,190.502212865383,1095 Hamilton St
Yaletown-Roundhouse Station,49.274566,-123.121817,Robba da Matti,516,4.2,"Italian, Tapas Bars",$$,+16045581174,108.89878886640875,1127 Mainland Street
Yaletown-Roundhouse Station,49.274566,-123.121817,Rodney's Oyster House,851,4.0,Seafood,$$,+16046090080,103.40228883283163,1228 Hamilton Street
Yaletown-Roundhouse Station,49.274566,-123.121817,Cioppino's Mediterranean Grill,206,4.2,"Mediterranean, Italian",$$$$,+16046887466,106.31532654871448,1133 Hamilton Street
Yaletown-Roundhouse Station,49.274566,-123.121817,Brix & Mortar,328,4.0,"Wine Bars, Canadian (New), Venues & Event Spaces",$$$,+16049159463,118.91559950033138,1137 Hamilton Street
Yaletown-Roundhouse Station,49.274566,-123.121817,Elisa,220,4.2,Steakhouses,$$$$,+16043625443,159.3636627088522,1109 Hamilton Street
Yaletown-Roundhouse Station,49.274566,-123.121817,OEB Breakfast Co. - Yaletown,863,4.3,Breakfast & Brunch,$$,+16044233447,222.4819795578938,1137 Marinaside Crescent
Yaletown-Roundhouse Station,49.274566,-123.121817,Tasty Indian Bistro,236,4.1,Indian,$$,+16044233300,158.53507215565813,1261 Hamilton Street
Yaletown-Roundhouse Station,49.274566,-123.121817,Provence Marinaside,367,3.6,"Seafood, French, Breakfast & Brunch",$$$,+16046814144,212.97592494120045,1177 Marinaside Crescent
Yaletown-Roundhouse Station,49.274566,-123.121817,The Parlour,470,3.9,"Pizza, Lounges, Tapas/Small Plates",$$,+16045683322,277.59950902751035,1011 Hamilton Street
Yaletown-Roundhouse Station,49.274566,-123.121817,The Greek By Anatoli,264,3.8,Greek,$$,+16049790700,230.6387447841661,1043 Mainland Street
Yaletown-Roundhouse Station,49.274566,-123.121817,Lupo,459,4.3,Italian,$$$,+16045692535,518.8909272489661,869 Hamilton Street
