name,latitude,longitude,free_bikes,ebikes,empty_slots
10th & Cambie,49.262487,-123.114397,1,1,33
Yaletown-Roundhouse Station,49.274566,-123.121817,14,0,0
Dunsmuir & Beatty,49.279764,-123.110154,1,1,24
12th & Yukon (City Hall),49.260599,-123.113504,1,0,13
8th & Ash,49.264215,-123.117772,2,0,14
Spyglass & Seawall,49.270877,-123.115103,11,0,3
Stamps Landing,49.26893,-123.11813,5,1,8
Ontario & Seawall,49.271721,-123.104207,10,0,10
Canada Place,49.287214,-123.11287,0,0,0
Granville & Georgia,49.282409,-123.118541,1,1,18
Pender & Burrard,49.287097,-123.118551,1,1,24
Marinaside & Davie,49.273471,-123.118016,18,2,3
Robson & Hornby,49.282758,-123.122092,2,1,27
Hornby & Pender,49.28602,-123.116624,3,0,17
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,1,0,17
Beatty & Nelson,49.275679,-123.116963,5,0,7
Abbott & Cordova,49.282759,-123.106955,8,0,13
Comox & Denman,49.288444,-123.139203,15,1,1
Cordova & Bute,49.289124,-123.12196,6,0,4
Hornby & Nelson,49.28062,-123.12482,1,0,14
Helmcken & Burrard,49.279938,-123.127478,1,0,13
Pacific & Richards,49.273663,-123.127075,12,7,1
Chilco & Beach,49.28972,-123.144028,13,0,1
Comox & Broughton,49.285253,-123.134356,1,1,10
Bute & Comox,49.283343,-123.131099,21,5,1
Cambie & Water,49.284605,-123.108662,17,1,15
Keefer & Abbott,49.279821,-123.10802,18,2,9
Expo & Carrall,49.278004,-123.105664,13,1,4
Keefer & Columbia,49.279342,-123.101822,10,0,4
Marinaside & Cooperage,49.273833,-123.114373,21,1,5
Bidwell & Burnaby,49.28526,-123.141809,11,3,11
Robson & Granville,49.281506,-123.120101,1,1,21
Expo & Smithe,49.276115,-123.114496,3,0,11
Cypress & Cornwall,49.272827,-123.147744,17,3,4
Anderson & 2nd,49.269361,-123.13782,21,1,7
7th & Granville,49.2653,-123.13811,1,0,13
10th & Granville,49.262598,-123.138921,0,0,13
14th & Granville,49.25894,-123.139272,2,1,12
14th & Cambie,49.258763,-123.115392,5,0,9
Ontario & 5th,49.266724,-123.104824,15,0,5
10th & Main,49.262141,-123.101961,4,2,13
Cypress & 4th,49.268269,-123.147885,12,0,4
Vanier Park,49.275717,-123.142564,5,1,21
Nelson & Mainland,49.276436,-123.11877,0,0,20
Nelson & Richards,49.277844,-123.120942,1,0,17
7th & Heather,49.265089,-123.119425,2,0,16
Harwood & Bute,49.28026,-123.135244,17,1,3
Chilco & Barclay,49.291909,-123.140713,16,2,0
Chilco & Robson,49.293257,-123.138563,10,2,5
Nicola & Robson,49.288011,-123.132006,5,1,11
Carrall & Hastings,49.28117,-123.104419,13,0,5
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,0,0,26
Stanley Park - Vancouver Aquarium,49.299292,-123.130281,15,8,0
Stanley Park - Second Beach North,49.29534,-123.150433,9,0,7
Stanley Park - Second Beach South,49.294318,-123.148808,16,3,17
Stanley Park - Totem Poles,49.298657,-123.121176,14,5,6
Heather & 14th,49.259183,-123.120126,0,0,18
8th & Ontario,49.263837,-123.105173,6,0,7
1st & Chestnut,49.270721,-123.146175,21,1,4
7th & Arbutus,49.265605,-123.152566,1,0,14
5th & Arbutus,49.267222,-123.153157,4,1,9
10th & Oak,49.262255,-123.126217,0,0,27
Arbutus & 16th,49.257654,-123.153212,10,0,29
Cypress & 14th,49.25919,-123.148268,6,0,5
Cypress & 16th,49.25741,-123.148531,10,0,2
Georgia & Thurlow,49.285953,-123.124066,10,3,1
Thurlow & Pendrell,49.280881,-123.130672,7,0,9
Heather & 16th,49.256845,-123.120071,3,3,9
14th & Ontario,49.25849,-123.104799,11,1,3
14th & Main,49.258425,-123.100792,1,1,10
David Lam Park,49.270905,-123.126006,17,2,0
Beach & Seymour,49.273568,-123.129935,16,0,1
Richards & Helmcken,49.277141,-123.122589,2,2,11
Burrard & 4th,49.267859,-123.145782,9,0,7
Burrard & 7th,49.265336,-123.145823,1,0,15
Charleson Park,49.267628,-123.127698,6,0,7
