station_name,latitude,longitude,venue_id,venue_name,venue_category,venue_address,venue_distance,venue_latitude,venue_longitude
10th & Cambie,49.262487,-123.114397,4aac95abf964a5204a5e20e3,Winona Park,Landmarks and Outdoors,400 W 59th Ave,105,49.263009,-123.113182
10th & Cambie,49.262487,-123.114397,4aa73d25f964a520704c20e3,Whole Foods,Retail,510 8th Ave W,173,49.263957,-123.115209
10th & Cambie,49.262487,-123.114397,4e223f06d4c0d32590f80ff4,La Taqueria Pinche Taco Shop,Taco Restaurant,2450 Yukon St,183,49.263637,-123.112586
10th & Cambie,49.262487,-123.114397,4aa98676f964a520105420e3,Elysian Coffee Broadway,Coffee Shop,590 Broadway W,216,49.263077,-123.117243
10th & Cambie,49.262487,-123.114397,4f60fc8be4b0a9d090a1f850,Rogue Kitchen & Wetbar,Bar,602W Broadway W,246,49.263123,-123.117652
10th & Cambie,49.262487,-123.114397,4c75baefdb52b1f7c5b979dc,Caffe Cittadella,Coffee Shop,2310 Ash St,311,49.26473,-123.116978
10th & Cambie,49.262487,-123.114397,4ab145f3f964a520d56820e3,Solly's Bagelry,Bakery,368 7th Ave W,293,49.264703,-123.112191
10th & Cambie,49.262487,-123.114397,52ae4f3c11d227ba4f4b055a,Indian Roti Kitchen,Indian Restaurant,2961 Cambie St,394,49.258983,-123.115272
10th & Cambie,49.262487,-123.114397,4aec909ff964a520ccc821e3,Milano Coffee,Coffee Shop,156 8th Ave W,435,49.263724,-123.108701
10th & Cambie,49.262487,-123.114397,57e6d0a2498e8d223bc2af56,Passion8 Dessert Cafe,Café,3010 Cambie St,458,49.25837,-123.114814
Yaletown-Roundhouse Station,49.274566,-123.121817,5751fda3498e4f21436b3b09,Mister,Ice Cream Parlor,1141 Mainland St,64,49.275114,-123.121514
Yaletown-Roundhouse Station,49.274566,-123.121817,4e2901b5b61c41a2f8a38ab3,The Flying Pig Yaletown,Restaurant,1168 Hamilton St,69,49.275181,-123.122007
Yaletown-Roundhouse Station,49.274566,-123.121817,5a878c33f8cbd46ab822ef69,MeeT in Yaletown,Vegan and Vegetarian Restaurant,1165 Mainland St,49,49.275006,-123.121748
