station_name,latitude,longitude,business_name,review_count,rating,categories,price,phone,distance,address
10th & Cambie,49.262487,-123.114397,Saku,254,4.3,Japanese,$$,16044234600,178.8453437,548 W Broadway
10th & Cambie,49.262487,-123.114397,La Taqueria Pinche Taco Shop,686,4.2,Mexican,$$,16045582549,169.517456,2450 Yukon Street
10th & Cambie,49.262487,-123.114397,Hokkaido Ramen Santouka,232,4.2,"Noodles, Ramen, Soup",$$,16045651770,191.0442341,558 W Broadway
10th & Cambie,49.262487,-123.114397,Uma Sushi,123,4.3,"Japanese, Sushi Bars",$$$,16044288588,152.1578973,450 W 8th Avenue
10th & Cambie,49.262487,-123.114397,Seaport City Seafood Restaurant,61,4.2,"Dim Sum, Seafood, Cantonese",$$$,16042227288,168.6152621,2425 Cambie Street
10th & Cambie,49.262487,-123.114397,Menya Raizo,83,3.8,Ramen,$$,16048290697,133.6656664,401 W Broadway
10th & Cambie,49.262487,-123.114397,iDen & Quan Ju De Beijing Duck House,138,3.5,Chinese,,12364777777,263.6413365,2808 Cambie Street
10th & Cambie,49.262487,-123.114397,Marulilu Cafe,291,4,Cafes,$$,16045684211,102.329817,451 W Broadway
10th & Cambie,49.262487,-123.114397,Cactus Club Cafe,150,3.7,"Canadian (New), Cocktail Bars",$$,16047146000,221.4839335,575 Broadway W
10th & Cambie,49.262487,-123.114397,Sushi California,322,3.6,"Japanese, Sushi Bars",$$,16048738284,143.4921696,388 W Broadway
10th & Cambie,49.262487,-123.114397,Rogue Kitchen & Wetbar,150,3.4,"American, Gastropubs",$$,16045689400,256.5680248,602 West Broadway Avenue
10th & Cambie,49.262487,-123.114397,Peaceful Restaurant,624,3.7,"Chinese, Noodles",$$,16048799878,146.4180087,110-532 W Broadway
10th & Cambie,49.262487,-123.114397,Yelp Community Week: Pablo Cheese Tart,74,4.8,Yelp Events,,,135.821755,511 W Broadway
10th & Cambie,49.262487,-123.114397,Indian Roti Kitchen,162,4.5,Indian,$$,16048763767,391.2831618,2961 Cambie Street
10th & Cambie,49.262487,-123.114397,Westcoast Poke,175,3.8,"Hawaiian, Poke",$$,17783795344,182.2399514,463 W 8th Avenue
10th & Cambie,49.262487,-123.114397,Vij's Restaurant,415,4,Indian,$$$,16047366664,547.5967511,3106 Cambie Street
10th & Cambie,49.262487,-123.114397,Yolks,360,3.6,"Coffee & Tea, Breakfast & Brunch",$$,16045599655,170.3240366,546 W Broadway
10th & Cambie,49.262487,-123.114397,Jollibee,45,3.4,"Fast Food, Chicken Shop",$$,16048001107,69.66140643,2549 Cambie Street
10th & Cambie,49.262487,-123.114397,Anh and Chi,687,4,"Vietnamese, Cocktail Bars",$$$,16048788883,1284.210576,3388 Main Street
10th & Cambie,49.262487,-123.114397,Pablo Cheese Tart,39,3.9,Bakeries,,,135.821755,511 West Broadway
Yaletown-Roundhouse Station,49.274566,-123.121817,The Flying Pig,1339,4,"Canadian (New), Seafood",$$,16045681344,54.99091676,1168 Hamilton Street
