station_name,latitude,longitude,business_name,review_count,rating,categories,price,phone,distance,address
10th & Cambie,49.262487,-123.114397,Winona Park,,,Landmarks and Outdoors,,,105,400 W 59th Ave
10th & Cambie,49.262487,-123.114397,Whole Foods,,,Retail,,,173,510 8th Ave W
10th & Cambie,49.262487,-123.114397,La Taqueria Pinche Taco Shop,,,Taco Restaurant,,,183,2450 Yukon St
10th & Cambie,49.262487,-123.114397,Elysian Coffee Broadway,,,Coffee Shop,,,216,590 Broadway W
10th & Cambie,49.262487,-123.114397,Cactus Club Cafe Broadway + Ash,,,American Restaurant,,,226,575 West Broadway
10th & Cambie,49.262487,-123.114397,Caffe Cittadella,,,Coffee Shop,,,311,2310 Ash St
10th & Cambie,49.262487,-123.114397,Indian Roti Kitchen,,,Indian Restaurant,,,394,2961 Cambie St
10th & Cambie,49.262487,-123.114397,Milano Coffee,,,Coffee Shop,,,435,156 8th Ave W
10th & Cambie,49.262487,-123.114397,The Beaumont Studios,,,Art Gallery,,,498,316W 5th Ave W
10th & Cambie,49.262487,-123.114397,Modus Coffee,,,Café,,,527,112 W Broadway
Yaletown-Roundhouse Station,49.274566,-123.121817,Mister,,,Ice Cream Parlor,,,64,1141 Mainland St
Yaletown-Roundhouse Station,49.274566,-123.121817,MeeT in Yaletown,,,Vegan and Vegetarian Restaurant,,,49,1165 Mainland St
Yaletown-Roundhouse Station,49.274566,-123.121817,The Flying Pig Yaletown,,,Restaurant,,,69,1168 Hamilton St
Yaletown-Roundhouse Station,49.274566,-123.121817,Minami Restaurant,,,Sushi Restaurant,,,107,1118 Mainland St
Yaletown-Roundhouse Station,49.274566,-123.121817,Rodney's Oyster House,,,Seafood Restaurant,,,104,1228 Hamilton St
Yaletown-Roundhouse Station,49.274566,-123.121817,Roundhouse Community Arts & Recreation Centre,,,Community Center,,,133,181 Roundhouse Mews
Yaletown-Roundhouse Station,49.274566,-123.121817,Blue Water Cafe + Raw Bar,,,Seafood Restaurant,,,180,1095 Hamilton St
Yaletown-Roundhouse Station,49.274566,-123.121817,Angus T,,,Bakery,,,202,1036 Mainland St
Yaletown-Roundhouse Station,49.274566,-123.121817,Small Victory Bakery,,,Bakery,,,206,1088 Homer St
Yaletown-Roundhouse Station,49.274566,-123.121817,La Terrazza,,,Italian Restaurant,,,220,1088 Cambie St
Dunsmuir & Beatty,49.279764,-123.110154,Chambar,,,Belgian Restaurant,,,59,562 Beatty St
Dunsmuir & Beatty,49.279764,-123.110154,Jam Cafe,,,Coffee Shop,,,71,556 Beatty St
Dunsmuir & Beatty,49.279764,-123.110154,Dirty Apron Cooking School,,,Culinary School,,,113,540 Beatty St
Dunsmuir & Beatty,49.279764,-123.110154,Queen Elizabeth Theatre,,,Music Venue,,,196,600 Block Hamilton St
Dunsmuir & Beatty,49.279764,-123.110154,Fanny Bay Oyster Bar & Shellfish Market,,,Seafood Restaurant,,,321,762 Cambie St
Dunsmuir & Beatty,49.279764,-123.110154,Meat & Bread,,,Bakery,,,328,370 Cambie St
Dunsmuir & Beatty,49.279764,-123.110154,Nemesis Coffee,,,Coffee Shop,,,336,302 W Hastings St
