station_name,latitude,longitude,business_name,review_count,rating,categories,price,phone,distance,address,source
10th & Cambie,49.262487,-123.114397,Winona Park,,,Landmarks and Outdoors,,,105.0,400 W 59th Ave,FourSquare
10th & Cambie,49.262487,-123.114397,Whole Foods,,,Retail,,,173.0,510 8th Ave W,FourSquare
10th & Cambie,49.262487,-123.114397,La Taqueria Pinche Taco Shop,,,Taco Restaurant,,,183.0,2450 Yukon St,FourSquare
10th & Cambie,49.262487,-123.114397,Elysian Coffee Broadway,,,Coffee Shop,,,216.0,590 Broadway W,FourSquare
10th & Cambie,49.262487,-123.114397,Cactus Club Cafe Broadway + Ash,,,American Restaurant,,,226.0,575 West Broadway,FourSquare
10th & Cambie,49.262487,-123.114397,Caffe Cittadella,,,Coffee Shop,,,311.0,2310 Ash St,FourSquare
10th & Cambie,49.262487,-123.114397,Indian Roti Kitchen,,,Indian Restaurant,,,394.0,2961 Cambie St,FourSquare
10th & Cambie,49.262487,-123.114397,Milano Coffee,,,Coffee Shop,,,435.0,156 8th Ave W,FourSquare
10th & Cambie,49.262487,-123.114397,The Beaumont Studios,,,Art Gallery,,,498.0,316W 5th Ave W,FourSquare
10th & Cambie,49.262487,-123.114397,Modus Coffee,,,Café,,,527.0,112 W Broadway,FourSquare
Yaletown-Roundhouse Station,49.274566,-123.121817,Mister,,,Ice Cream Parlor,,,64.0,1141 Mainland St,FourSquare
Yaletown-Roundhouse Station,49.274566,-123.121817,MeeT in Yaletown,,,Vegan and Vegetarian Restaurant,,,49.0,1165 Mainland St,FourSquare
Yaletown-Roundhouse Station,49.274566,-123.121817,The Flying Pig Yaletown,,,Restaurant,,,69.0,1168 Hamilton St,FourSquare
Yaletown-Roundhouse Station,49.274566,-123.121817,Minami Restaurant,,,Sushi Restaurant,,,107.0,1118 Mainland St,FourSquare
Yaletown-Roundhouse Station,49.274566,-123.121817,Rodney's Oyster House,,,Seafood Restaurant,,,104.0,1228 Hamilton St,FourSquare
Yaletown-Roundhouse Station,49.274566,-123.121817,Roundhouse Community Arts & Recreation Centre,,,Community Center,,,133.0,181 Roundhouse Mews,FourSquare
Yaletown-Roundhouse Station,49.274566,-123.121817,Blue Water Cafe + Raw Bar,,,Seafood Restaurant,,,180.0,1095 Hamilton St,FourSquare
Yaletown-Roundhouse Station,49.274566,-123.121817,Angus T,,,Bakery,,,202.0,1036 Mainland St,FourSquare
